vector<char>,1,400
deque<char>,1,200
vector<char>,2,300
deque<char>,2,200
vector<char>,4,300
deque<char>,4,200
vector<char>,8,400
deque<char>,8,200
vector<char>,16,300
deque<char>,16,200
vector<char>,32,300
deque<char>,32,200
vector<char>,64,400
deque<char>,64,200
vector<char>,128,400
deque<char>,128,100
vector<char>,256,400
deque<char>,256,100
vector<char>,512,500
deque<char>,512,100
vector<char>,1024,400
deque<char>,1024,100
vector<char>,2048,500
deque<char>,2048,100
vector<char>,4096,500
deque<char>,4096,100
vector<char>,8192,800
deque<char>,8192,200
vector<char>,16384,10200
deque<char>,16384,200
vector<char>,32768,10000
deque<char>,32768,300
